,FakeCustomerID,THE_YEAR,VOLUME,CATEGORY
0,100771,2019,1816,Small
1,100771,2020,1789,Small
2,102180,2019,5222,Small
3,102180,2020,4817,Small
4,102643,2019,2670,Small
5,102643,2020,1703,Small
6,102750,2019,1013,Small
7,102750,2020,405,Lesser than 1K
8,103308,2019,90140,Medium
9,103308,2020,103700,Medium
10,103862,2019,2232,Small
11,103862,2020,7079,Small
12,104216,2019,1941,Small
13,104216,2020,1543,Small
14,104298,2019,141105,Medium
15,104298,2020,88126,Medium
16,105129,2019,1313,Small
17,105129,2020,730,Lesser than 1K
18,105157,2019,1750,Small
19,105157,2020,3387,Small
20,105679,2019,11153,Medium
21,105679,2020,13673,Medium
22,105732,2019,4583,Small
23,105732,2020,9360,Small
24,105833,2019,1939,Small
25,105833,2020,3320,Small
26,107034,2019,24674,Medium
27,107034,2020,10005,Medium
28,108454,2019,1311,Small
29,108454,2020,1958,Small
30,109196,2019,1091,Small
31,109196,2020,1411,Small
32,109209,2019,2010,Small
33,109209,2020,7294,Small
34,109422,2019,1817,Small
35,109422,2020,1940,Small
36,109930,2019,7028,Small
37,109930,2020,14712,Medium
38,110804,2019,11369,Medium
39,110804,2020,10115,Medium
40,111250,2019,1421,Small
41,111250,2020,1873,Small
42,112215,2019,42919,Medium
43,112215,2020,23224,Medium
44,113454,2019,2388,Small
45,113454,2020,3144,Small
46,114555,2019,8113,Small
47,114555,2020,7489,Small
48,114564,2019,14676,Medium
49,114564,2020,16928,Medium
50,114771,2019,14661,Medium
51,114771,2020,13906,Medium
52,115266,2019,156807,Medium
53,115266,2020,473879,Large
54,115586,2019,2579,Small
55,115586,2020,4970,Small
56,116126,2019,7048,Small
57,116126,2020,15,Lesser than 1K
58,117163,2019,3426,Small
59,117163,2020,3555,Small
60,117899,2019,202098,Large
61,117899,2020,271096,Large
62,118720,2019,1337,Small
63,118720,2020,4984,Small
64,119154,2019,1544,Small
65,119154,2020,2534,Small
66,119366,2019,5573,Small
67,119366,2020,8667,Small
68,119726,2019,3996,Small
69,119726,2020,19220,Medium
70,120030,2019,2770,Small
71,120030,2020,3098,Small
72,120264,2019,2091,Small
73,120264,2020,4825,Small
74,121299,2019,4019,Small
75,121299,2020,279,Lesser than 1K
76,123806,2019,8631483,Enterprise
77,123806,2020,15462363,Enterprise
78,123901,2019,1189,Small
79,123901,2020,3004,Small
80,124898,2019,1032,Small
81,124898,2020,567,Lesser than 1K
82,126917,2019,1268,Small
83,126917,2020,738,Lesser than 1K
84,127658,2019,49782,Medium
85,127658,2020,106253,Medium
86,129828,2019,3440,Small
87,129828,2020,3958,Small
88,130603,2019,177884,Medium
89,130603,2020,337432,Large
90,132789,2019,11200,Medium
91,132789,2020,11069,Medium
92,133004,2019,29638,Medium
93,133004,2020,71968,Medium
94,134260,2019,1471,Small
95,134260,2020,2224,Small
96,134688,2019,1744,Small
97,134688,2020,1235,Small
98,135565,2019,4120,Small
99,135565,2020,14785,Medium
100,137245,2019,3320,Small
101,137245,2020,3571,Small
102,137550,2019,3916,Small
103,137550,2020,4943,Small
104,137580,2019,3694,Small
105,137580,2020,1549,Small
106,137770,2019,5482,Small
107,137770,2020,13238,Medium
108,139056,2019,3542,Small
109,139056,2020,3186,Small
110,139932,2019,5786,Small
111,139932,2020,5329,Small
112,140137,2019,2861,Small
113,140137,2020,3400,Small
114,141285,2019,8065,Small
115,141285,2020,11521,Medium
116,142244,2019,1865,Small
117,142244,2020,5209,Small
118,142426,2019,1596,Small
119,142426,2020,2471,Small
120,142553,2019,1177,Small
121,142553,2020,1948,Small
122,144127,2019,4198,Small
123,144127,2020,16095,Medium
124,145203,2019,1212,Small
125,145203,2020,1156,Small
126,145719,2019,1411,Small
127,145719,2020,368,Lesser than 1K
128,146899,2019,4508,Small
129,146899,2020,5171,Small
130,150644,2019,10417,Medium
131,150644,2020,13218,Medium
132,151144,2019,1213,Small
133,151144,2020,1663,Small
134,152878,2019,2404,Small
135,152878,2020,16686,Medium
136,155075,2019,2672,Small
137,155075,2020,2974,Small
138,155390,2019,1262,Small
139,155390,2020,1277,Small
140,156163,2019,2622,Small
141,156163,2020,4338,Small
142,156924,2019,2460,Small
143,156924,2020,1833,Small
144,157701,2019,1081,Small
145,157701,2020,4509,Small
146,158330,2019,2339,Small
147,158330,2020,1406,Small
148,159364,2019,4427,Small
149,159364,2020,5372,Small
150,159874,2019,4467,Small
151,159874,2020,3896,Small
152,162466,2019,11124,Medium
153,162466,2020,30475,Medium
154,162615,2019,1208,Small
155,162615,2020,1843,Small
156,163057,2019,3043,Small
157,163057,2020,4614,Small
158,164377,2019,157262,Medium
159,164377,2020,32512,Medium
160,165730,2019,1473,Small
161,165730,2020,538,Lesser than 1K
162,166091,2019,5045,Small
163,166091,2020,4877,Small
164,167795,2019,1174,Small
165,167795,2020,1794,Small
166,168399,2019,1340,Small
167,168399,2020,1753,Small
168,169214,2019,1469,Small
169,169214,2020,542,Lesser than 1K
170,169868,2019,15812,Medium
171,169868,2020,19676,Medium
172,171458,2019,8116,Small
173,171458,2020,19883,Medium
174,172282,2019,2594,Small
175,172282,2020,2170,Small
